Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.02     0.00       55     0.00     0.00  void std::__pop_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp> >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&)
  0.00      0.02     0.00       55     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp> >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>)
  0.00      0.02     0.00       55     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&>(__gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&)
  0.00      0.02     0.00       53     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::size() const
  0.00      0.02     0.00       36     0.00     0.00  HCNode** std::__niter_base<HCNode**>(HCNode**)
  0.00      0.02     0.00       29     0.00     0.00  std::priority_queue<HCNode*, std::vector<HCNode*, std::allocator<HCNode*> >, HCNodePtrComp>::size() const
  0.00      0.02     0.00       29     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::operator[](unsigned long)
  0.00      0.02     0.00       20     0.00     0.00  std::__new_allocator<HCNode*>::_M_max_size() const
  0.00      0.02     0.00       19     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_get_Tp_allocator()
  0.00      0.02     0.00       14     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.02     0.00       13     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_get_Tp_allocator() const
  0.00      0.02     0.00       13     0.00     0.00  std::__new_allocator<HCNode*>::max_size() const
  0.00      0.02     0.00       13     0.00     0.00  std::allocator_traits<std::allocator<HCNode*> >::max_size(std::allocator<HCNode*> const&)
  0.00      0.02     0.00       13     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_max_size(std::allocator<HCNode*> const&)
  0.00      0.02     0.00       12     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::max_size() const
  0.00      0.02     0.00       12     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_relocate(HCNode**, HCNode**, HCNode**, std::allocator<HCNode*>&)
  0.00      0.02     0.00       12     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_do_relocate(HCNode**, HCNode**, HCNode**, std::allocator<HCNode*>&, std::integral_constant<bool, true>)
  0.00      0.02     0.00       12     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_use_relocate()
  0.00      0.02     0.00       12     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.02     0.00       12     0.00     0.00  HCNode** std::__relocate_a<HCNode**, HCNode**, std::allocator<HCNode*> >(HCNode**, HCNode**, HCNode**, std::allocator<HCNode*>&)
  0.00      0.02     0.00       12     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<HCNode*, void>::value, HCNode**>::type std::__relocate_a_1<HCNode*, HCNode*>(HCNode**, HCNode**, HCNode**, std::allocator<HCNode*>&)
  0.00      0.02     0.00       10     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_deallocate(HCNode**, unsigned long)
  0.00      0.02     0.00        7     0.00     0.00  std::allocator<HCNode*>::~allocator()
  0.00      0.02     0.00        7     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_allocate(unsigned long)
  0.00      0.02     0.00        7     0.00     0.00  std::__new_allocator<HCNode*>::deallocate(HCNode**, unsigned long)
  0.00      0.02     0.00        7     0.00     0.00  std::__new_allocator<HCNode*>::allocate(unsigned long, void const*)
  0.00      0.02     0.00        7     0.00     0.00  std::__new_allocator<HCNode*>::~__new_allocator()
  0.00      0.02     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<HCNode*> >::deallocate(std::allocator<HCNode*>&, HCNode**, unsigned long)
  0.00      0.02     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<HCNode*> >::allocate(std::allocator<HCNode*>&, unsigned long)
  0.00      0.02     0.00        6     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.02     0.00        6     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data const&)
  0.00      0.02     0.00        6     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.02     0.00        6     0.00     0.00  void std::vector<HCNode*, std::allocator<HCNode*> >::_M_realloc_insert<HCNode* const&>(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNode* const&)
  0.00      0.02     0.00        4     0.00     0.00  std::allocator<HCNode*>::allocator(std::allocator<HCNode*> const&)
  0.00      0.02     0.00        4     0.00     0.00  void std::_Destroy_aux<true>::__destroy<HCNode**>(HCNode**, HCNode**)
  0.00      0.02     0.00        4     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl::~_Vector_impl()
  0.00      0.02     0.00        4     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::~_Vector_base()
  0.00      0.02     0.00        4     0.00     0.00  std::__new_allocator<HCNode*>::__new_allocator(std::__new_allocator<HCNode*> const&)
  0.00      0.02     0.00        4     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::~vector()
  0.00      0.02     0.00        4     0.00     0.00  void std::_Destroy<HCNode**>(HCNode**, HCNode**)
  0.00      0.02     0.00        4     0.00     0.00  void std::_Destroy<HCNode**, HCNode*>(HCNode**, HCNode**, std::allocator<HCNode*>&)
  0.00      0.02     0.00        3     0.00     0.00  std::allocator<HCNode*>::allocator()
  0.00      0.02     0.00        3     0.00     0.00  std::__new_allocator<HCNode*>::__new_allocator()
  0.00      0.02     0.00        2     0.00     0.00  FancyInputStream::reset()
  0.00      0.02     0.00        2     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.02     0.00        2     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl::_Vector_impl()
  0.00      0.02     0.00        2     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl::_Vector_impl(std::allocator<HCNode*> const&)
  0.00      0.02     0.00        2     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data&)
  0.00      0.02     0.00        2     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_base()
